,bill_id,title,date
0,564,Allhallows Staining Church Act,2010-01-25T00:00:00
1,604,Ambulance Response Times (Local Reporting) Bill,2010-01-26T00:00:00
2,573,Anti-Slavery Day Act 2010,2009-12-16T00:00:00
3,625,Appropriation Act 2010,2010-03-10T00:00:00
4,641,Appropriation (No. 2) Act 2010,2010-04-07T00:00:00
5,596,Armenian Genocide Remembrance Day Bill,2010-01-06T00:00:00
6,356,Beverley Freemen,2008-11-27T00:00:00
7,617,Bilingual Juries (Wales) Bill,2010-03-01T00:00:00
8,206,Bournemouth Borough Council 2010,2006-11-27T00:00:00
9,546,Bribery Act 2010,2009-11-19T00:00:00
10,590,British Museum Act 1963 (Amendment) Bill,2010-01-06T00:00:00
11,553,Building Regulations (Amendment) Bill [HL],2009-11-19T00:00:00
12,215,Canterbury City Council Act 2013,2007-11-27T00:00:00
13,580,Care Homes and Sheltered Accommodation (Domestic Pets) Bill,2009-12-16T00:00:00
14,377,Child Poverty Act 2010,2009-06-11T00:00:00
15,531,"Children, Schools and Families Act 2010",2009-11-19T00:00:00
16,552,Children's Rights Bill [HL],2009-11-19T00:00:00
17,357,City of Westminster Bill [HL],2008-11-27T00:00:00
18,610,Climate Change (Sectoral Targets) Bill,2010-02-09T00:00:00
19,545,Cluster Munitions (Prohibitions) Act 2010,2009-11-19T00:00:00
20,607,Compensation Act 2006 (Amendment) Bill,2010-02-02T00:00:00
21,566,Consolidated Fund Act 2010,2009-12-10T00:00:00
22,557,Constitutional Reform Bill [HL],2009-11-19T00:00:00
23,512,Constitutional Reform and Governance Act 2010,2009-07-20T00:00:00
24,556,Consumer Emissions (Climate Change) Bill [HL],2009-11-19T00:00:00
25,549,Contaminated Blood (Support for Infected and Bereaved Persons) Bill [HL],2009-11-19T00:00:00
26,638,Control of Dogs Bill,2010-03-30T00:00:00
27,554,Co-operative and Community Benefit Societies and Credit Unions Act 2010,2009-11-19T00:00:00
28,535,Corporation Tax Act 2010,2009-11-19T00:00:00
29,628,Council Tax Benefit (Change of Name) Bill,2010-03-16T00:00:00
30,548,Crime and Security Act 2010,2009-11-19T00:00:00
31,559,Damages (Asbestos-related Conditions) Bill [HL],2009-11-19T00:00:00
32,587,Damages (Asbestos-Related Conditions) (No. 2) Bill,2010-01-06T00:00:00
33,570,Debt Relief (Developing Countries) Act 2010,2009-12-16T00:00:00
34,629,Dementia Strategy Bill,2010-03-17T00:00:00
35,613,Department for Work and Pensions (Electronic File retention) Bill,2010-02-10T00:00:00
36,608,Desecration of War Memorials Bill,2010-02-03T00:00:00
37,582,Development on Flood Plains (Environment Agency Powers) Bill,2009-12-16T00:00:00
38,544,Digital Economy Act 2010,2009-11-19T00:00:00
39,603,Digital Heritage Bill,2010-01-20T00:00:00
40,588,Employers' Liability Insurance Bureau Bill,2010-01-06T00:00:00
41,533,Energy Act 2010,2009-11-19T00:00:00
42,611,Environmental Protection (Fly-Tipping Reporting) Bill,2010-02-09T00:00:00
43,381,Equality Act 2010,2009-04-24T00:00:00
44,581,European Union Membership (Referendum) Bill,2009-12-16T00:00:00
45,636,Finance Act 2010,2010-03-30T00:00:00
46,541,Financial Services Act 2010,2009-11-19T00:00:00
47,634,Fire Safety (Schools) Bill,2010-03-23T00:00:00
48,565,Fiscal Responsibility Act 2010,2009-12-09T00:00:00
49,534,Flood Water Management Act 2010,2009-11-19T00:00:00
50,571,Grocery Market Ombudsman Bill,2009-12-16T00:00:00
51,602,Health and Safety (Company Director Liability) Bill,2010-01-19T00:00:00
52,562,Health and Social Care (Independent Living) Bill [HL],2009-11-23T00:00:00
53,592,Human Rights Act 1998 (Meaning of Public Authority) Bill,2010-01-06T00:00:00
54,622,Hydrofluorocarbons Limitation Bill,2010-03-09T00:00:00
55,626,"Illegally Logged Timber (Prohibition of Retail, Wholesale and Distribution) Bill",2010-03-16T00:00:00
56,594,Illegally Logged Timber (Prohibition of Sale) Bill,2010-01-06T00:00:00
57,563,Kent County Council (Filming on Highways),2010-01-25T00:00:00
58,589,Land Use (Gardens Protection Etc.) Bill,2010-01-06T00:00:00
59,212,Leeds City Council Act 2013,2007-11-27T00:00:00
60,577,Lisbon Treaty (Referendum) Bill,2009-12-16T00:00:00
61,551,Live Music Bill [HL],2009-11-19T00:00:00
62,569,Local Authorities (Overview and Scrutiny) Bill,2009-12-16T00:00:00
63,583,Local Government (Infrastructure Requirement Plans) Bill,2009-12-16T00:00:00
64,205,London Local Authorities Act,2007-11-27T00:00:00
65,216,London Local Authorities and Transport for London Act 2013,2007-11-27T00:00:00
66,620,Major Capital Contracts (Skills Training Requirements) Bill,2010-03-02T00:00:00
67,209,Manchester City Council 2010,2006-11-27T00:00:00
68,584,Marine Accident Investigation Branch (Reports) Bill,2009-12-16T00:00:00
69,558,Marine Navigation Aids Bill [HL],2009-11-19T00:00:00
70,550,Marriage (Wales) Act 2010,2009-11-19T00:00:00
71,568,Mortgage Repossessions (Protection of Tenants etc) Act 2010,2009-12-16T00:00:00
72,578,National Health Service Public Interest Disclosure Support Bill,2009-12-16T00:00:00
73,547,Northern Ireland Assembly Members Act 2010,2009-11-19T00:00:00
74,218,Nottingham City Council Act 2013,2007-11-27T00:00:00
75,640,Nuclear Fuel Cycle (Non-Proliferation and Public Liability) Bill,2010-04-07T00:00:00
76,630,Organ and Tissue Donation (Mandated Choice) Bill,2010-03-17T00:00:00
77,561,Patient Transport Bill [HL],2009-11-23T00:00:00
78,601,Pedicabs Bill,2010-01-18T00:00:00
79,542,Personal Care at Home Act 2010,2009-11-25T00:00:00
80,555,Powers of Entry etc. Bill [HL],2009-11-19T00:00:00
81,619,Prosecution of Offences Act 1985 (Amendment) Bill,2010-03-01T00:00:00
82,616,Public Bodies (Procurement of Seafood) Bill,2010-02-24T00:00:00
83,219,Reading Borough Council Act 2013,2007-11-27T00:00:00
84,618,Registration of Births and Deaths (Welsh Language) Bill,2010-03-01T00:00:00
85,543,Rehabilitation of Offenders (Amendment) Bill [HL],2009-11-19T00:00:00
86,624,Remembrance Sunday (Closure of Shops) Bill,2010-03-10T00:00:00
87,614,Rental Accommodation (Thermal Insulation Standards) Bill,2010-02-23T00:00:00
88,623,Representation of the People (Undue Influence) Bill,2010-03-10T00:00:00
89,576,Safety and Conservation (Byelaws) Bill,2009-12-16T00:00:00
90,605,School Admissions Bill,2010-01-27T00:00:00
91,585,School Transport Bill,2009-12-16T00:00:00
92,635,Second Home Ownership (Regulation) Bill,2010-03-29T00:00:00
93,591,Sheltered Accommodation (Residents) Bill,2010-01-06T00:00:00
94,572,Sunbeds (Regulation) Act 2010,2009-12-16T00:00:00
95,633,Sustainability of Livestock Farming and Food Production (Strategy) Bill,2010-03-23T00:00:00
96,574,Sustainable Communities Act 2007 (Amendment) Act 2010,2009-12-16T00:00:00
97,597,Sustainable Energy (Local Action) Bill,2010-01-12T00:00:00
98,637,Tax and Financial Transparency Bill,2010-03-30T00:00:00
99,537,Taxation (International and Other Provisions) Act 2010,2009-11-19T00:00:00
100,609,Terrorist Asset-Freezing (Temporary Provisions) Act 2010,2010-02-05T00:00:00
101,560,Third Parties (Rights against Insurers) Act 2010,2009-11-23T00:00:00
102,595,Torture (Damages) Bill,2010-01-06T00:00:00
103,579,Town and Country Planning Act 1990 (Amendment) Bill,2009-12-16T00:00:00
104,621,Transport for London (Supplemental Toll Provisions) Bill [HL],2006-11-27T00:00:00
105,599,United Kingdom Parliamentary Sovereignty Bill,2010-01-13T00:00:00
106,600,Veterans' Welfare Bill,2010-01-13T00:00:00
107,567,Video Recording Act 2010,2009-12-15T00:00:00
108,598,Video Recordings (Exemption from Classification) Bill,2010-01-12T00:00:00
109,575,Warsaw Convention (Carrier Liability) Bill,2009-12-16T00:00:00
110,639,Waste Recovery and Disposal Facilities (Public Consultation) Bill,2010-04-06T00:00:00
111,612,Water Tariffs Bill,2010-02-10T00:00:00
112,606,Young People Leaving Care (Accommodation) Bill,2010-01-27T00:00:00
113,642,Academies Act 2010,2010-05-26T00:00:00
114,777,Activity Centres (Young Persons' Safety) (Amendment) Bill,2010-10-21T00:00:00
115,878,"Adoption (Leave, Pay and Allowance Arrangements) Bill",2011-06-29T00:00:00
116,954,Airport Security (People with Disabilities) Bill,2012-02-01T00:00:00
117,916,Airports (Amendment) Bill [HL],2011-12-07T00:00:00
118,854,Alcohol Marketing Bill,2011-03-30T00:00:00
119,564,Allhallows Staining Church Act,2010-01-25T00:00:00
120,689,Anonymity (Arrested Persons) Bill,2010-06-30T00:00:00
121,722,Apprehension of Burglars Bill,2010-07-05T00:00:00
122,757,Apprenticeships and Skills (Public Procurement Contracts) Bill,2010-09-14T00:00:00
123,836,Appropriation Act 2011,2011-03-02T00:00:00
124,743,Appropriation (No. 3) Act 2010,2010-07-19T00:00:00
125,867,Arbitration and Mediation Services (Equality) Bill [HL],2011-06-07T00:00:00
126,682,Armed Forces Act 2011,2010-12-08T00:00:00
127,943,Armed Forces (Germany) Bill,2012-01-31T00:00:00
128,734,Armed Forces (Leave) Bill,2010-07-05T00:00:00
129,789,Armed Forces Charter Bill,2010-11-09T00:00:00
130,866,Autism (Quality Standards) Bill,2011-05-24T00:00:00
131,876,Bail (Amendment) Bill,2011-06-28T00:00:00
132,797,Bank of Ireland (UK) plc,2010-11-29T00:00:00
133,970,"Banking (Disclosure, Responsibility and Education) Bill",2012-03-26T00:00:00
134,809,Banking and Financial Services (Community Investment) Bill,2010-12-14T00:00:00
135,826,BBC Licence Fee Payers (Voting Rights) Bill,2011-02-08T00:00:00
136,887,Betting Shops Bill,2011-07-19T00:00:00
137,709,Broadcasting (Public Service Content) Bill,2010-07-05T00:00:00
138,728,Broadcasting (Television Licence Fee Abolition) Bill,2010-07-05T00:00:00
139,783,Budget Responsibility and National Audit Act 2011,2010-10-21T00:00:00
140,657,Building Regulations (Review) Bill [HL],2010-05-26T00:00:00
141,215,Canterbury City Council Act 2013,2007-11-27T00:00:00
142,914,Caravan Sites Bill [HL],2011-12-01T00:00:00
143,739,Carers (Identification and Support) Bill,2010-07-14T00:00:00
144,822,Carers and Employment Bill,2011-01-26T00:00:00
145,838,Charitable Healthcare Providers (Value Added Tax Relief) Bill,2011-03-08T00:00:00
146,837,Charities Act 2011,2011-03-03T00:00:00
147,787,Cheques Bill,2010-11-02T00:00:00
148,944,Child Benefit (Amendment) Bill,2012-01-31T00:00:00
149,852,Children (Access to Parents) Bill,2011-03-29T00:00:00
150,798,City of London (Various Powers) 2013,2010-11-29T00:00:00
151,357,City of Westminster Bill [HL],2008-11-27T00:00:00
152,993,Civil Aviation Act 2012,2012-01-19T00:00:00
153,692,Coinage (Measurement) Act 2011,2010-06-30T00:00:00
154,848,Common Fisheries Policy (Withdrawal) Bill,2011-03-24T00:00:00
155,892,Company Remuneration Bill [HL],2011-09-12T00:00:00
156,771,Compensation (Limitation) Bill,2010-10-21T00:00:00
157,897,Concessionary Bus Travel (Amendment) Bill,2011-10-18T00:00:00
158,806,Consolidated Fund Act 2010,2010-12-08T00:00:00
159,788,Consumer Credit (Regulation and Advice) Bill,2010-11-03T00:00:00
160,862,Consumer Insurance (Disclosure and Representations) Act 2012,2011-05-16T00:00:00
161,818,Consumer Protection (Postal Marketing) Bill,2011-01-19T00:00:00
162,801,Consumer Protection (Private Car Parks) Bill,2010-11-30T00:00:00
163,651,Contaminated Blood (Support for Infected and Bereaved Persons) Bill [HL],2010-05-26T00:00:00
164,895,Co-Operative Housing Tenure Bill,2011-10-11T00:00:00
165,950,Corporate Tax Reductions Bill,2012-01-31T00:00:00
166,804,Council Housing (Local Financing Pathfinders) Bill,2010-12-08T00:00:00
167,746,Credit Regulation (Child Pornography) Bill,2010-07-21T00:00:00
168,832,Criminal Justice (Amendment) Bill,2011-02-16T00:00:00
169,776,Criminal Records (Public Access) Bill,2010-10-21T00:00:00
170,888,Currency and Banknotes (Amendment) Bill,2011-09-06T00:00:00
171,886,Cycles (Protective Headgear for Children) Bill,2011-07-14T00:00:00
172,814,Dairy Farming Bill,2011-01-12T00:00:00
173,846,Dangerous and Reckless Cycling (Offences) Bill,2011-03-22T00:00:00
174,863,Dangerous Driving (Maximum Sentence) Bill,2011-05-17T00:00:00
175,687,Daylight Saving Bill,2010-06-30T00:00:00
176,650,Defamation Bill [HL],2010-05-26T00:00:00
177,763,Demonstrations in the Vicinity of Parliament (Removal of Authorisation Requirements) Bill [HL],2010-10-11T00:00:00
178,934,"Department for Business, Innovation and Skills (Relocation to Sheffield) Bill",2012-01-31T00:00:00
179,940,Department for Communities and Local Government (Relocation to Liverpool) Bill,2012-01-31T00:00:00
180,936,"Department for Culture, Media and Sport (Relocation to Manchester) Bill",2012-01-31T00:00:00
181,937,Department for Education (Relocation to Nottingham) Bill,2012-01-31T00:00:00
182,933,"Department for Environment, Food and Rural Affairs (Relocation to Bristol) Bill",2012-01-31T00:00:00
183,938,Department for International Development (Relocation to Newcastle) Bill,2012-01-31T00:00:00
184,935,Department for Transport (Relocation to Birmingham) Bill,2012-01-31T00:00:00
185,939,Department for Work and Pensions (Relocation to Leeds) Bill,2012-01-31T00:00:00
186,810,Devolution (Time) Bill [HL],2010-12-15T00:00:00
187,905,Devolved Administrations (Armed Forces Covenant Reports) Bill,2011-11-02T00:00:00
188,976,Diabetes Prevention (Soft Drinks) Bill,2012-04-18T00:00:00
189,652,Dog Control Bill [HL],2010-05-26T00:00:00
190,753,Dog Control and Welfare Bill,2010-07-27T00:00:00
191,704,"Domestic Violence, Crime and Victims (Amendment) Act 2012",2010-06-30T00:00:00
192,707,Drugs (Roadside Testing) Bill,2010-07-05T00:00:00
193,821,Education Act 2011,2011-01-26T00:00:00
194,870,Education (Special Educational Needs) Bill,2011-06-08T00:00:00
195,904,Education and Training (Young People with Autism) Bill,2011-11-01T00:00:00
196,729,Elector Registration Bill,2010-07-05T00:00:00
197,730,Electoral Law (Amendment) Bill,2010-07-05T00:00:00
198,913,Electoral Register (Access to Public Services) Bill,2011-11-29T00:00:00
199,827,Electric Personal Vehicles (Use on Highways) Bill [HL],2011-02-09T00:00:00
200,881,Electricity Transmission (Protection of Landscape) Bill,2011-07-05T00:00:00
201,706,Employment Opportunities Bill,2010-07-05T00:00:00
202,792,Employment Retention Bill,2010-11-16T00:00:00
203,805,Energy Act 2011,2010-12-08T00:00:00
204,966,Energy Generation (Planning and Right to Invest) Bill,2012-03-06T00:00:00
205,941,English Police Forces Bill,2012-01-31T00:00:00
206,795,Epilepsy and Related Conditions (Education and Health Services) Bill,2010-11-24T00:00:00
207,769,Equality and Diversity (Reform) Bill,2010-10-21T00:00:00
208,665,Equitable Life (Payments) Act 2010,2010-07-22T00:00:00
209,961,Eradication of Slavery (UK Company Supply Chains) Bill,2012-02-28T00:00:00
210,688,Estates of Deceased Persons (Forfeiture Rule and Law of Succession) Act 2011,2010-06-30T00:00:00
211,724,European Communities Act 1972 (Repeal) Bill,2010-07-05T00:00:00
212,958,European Convention on Human Rights (Temporary Withdrawal) Bill,2012-02-21T00:00:00
213,847,European Convention on Human Rights (Withdrawal) Bill,2011-03-24T00:00:00
