,Unnamed: 0,party_name,country
0,0,Republican Labour,2
1,1,Alliance,2
2,2,Sinn F̩in,2
3,3,Protestant Unionist,2
4,4,Conservative,2
5,5,Plaid Cymru,2
6,6,Independent,2
7,7,Labour Independent,2
8,8,Independent Conservative,2
9,9,Social Democratic & Labour Party,2
10,10,Independent Liberal Democrat,2
11,11,Alba Party,2
12,12,Liberal,2
13,13,Conservative Independent,2
14,14,Change UK - The Independent Group,2
15,15,Ulster Unionist Party,2
16,16,The Reclaim Party,2
17,17,Other,2
18,18,Speaker,2
19,19,United Kingdom Unionist,2
20,20,Bishops,2
21,21,Social Democratic Party,2
22,22,Democratic Unionist Party,2
23,23,Non-affiliated,2
24,24,Lord Speaker,2
25,25,Independent Socialist,2
26,26,The Independent Group for Change,2
27,27,UK Independence Party,2
28,28,Green Party,2
29,29,Liberal Democrat,2
30,30,Independent Labour,2
31,31,Scottish National Party,2
32,32,Independent Unionist,2
33,33,Labour,2
34,34,Crossbench,2
